State,Year,Fuel,Value
Arkansas,2008,Commercial,2.2
Arkansas,2009,Commercial,2.5
Arkansas,2010,Commercial,2.6
Arkansas,2011,Commercial,2.5
Arkansas,2012,Commercial,2.5
Arkansas,2013,Commercial,2.8
Arkansas,2014,Commercial,3.1
Arkansas,2015,Commercial,3.1
California,1990,Commercial,19
California,1991,Commercial,19.1
California,1992,Commercial,17.4
California,1993,Commercial,15.5
California,1994,Commercial,15.9
California,1995,Commercial,17
California,1996,Commercial,14.7
California,1997,Commercial,15.3
California,1998,Commercial,17.8
California,1999,Commercial,14.9
California,2000,Commercial,14.4
California,2001,Commercial,14.8
California,2002,Commercial,14.2
California,2003,Commercial,14
California,2004,Commercial,14.1
California,2005,Commercial,14.2
California,2006,Commercial,14.4
California,2007,Commercial,15.1
California,2008,Commercial,15.6
California,2009,Commercial,15.6
California,2010,Commercial,16.1
California,2011,Commercial,15.7
California,2012,Commercial,15.9
California,2013,Commercial,16
California,2014,Commercial,15
California,2015,Commercial,18.6
Colorado,1990,Commercial,3.7
Colorado,1991,Commercial,4.2
Colorado,1992,Commercial,4
Colorado,1993,Commercial,4.1
Colorado,1994,Commercial,4
Colorado,1995,Commercial,3.9
Colorado,1996,Commercial,4.1
Colorado,1997,Commercial,4.1
Colorado,1998,Commercial,3.7
Colorado,1999,Commercial,3.8
Colorado,2000,Commercial,3.7
Colorado,2001,Commercial,4.4
Colorado,2002,Commercial,4.3
Colorado,2003,Commercial,4.2
Colorado,2004,Commercial,4
Colorado,2005,Commercial,4
Colorado,2006,Commercial,3.7
Colorado,2007,Commercial,3.7
Colorado,2008,Commercial,4.5
Colorado,2009,Commercial,4.6
Colorado,2010,Commercial,4.2
Colorado,2011,Commercial,3.9
Colorado,2012,Commercial,3.3
Colorado,2013,Commercial,3.7
Colorado,2014,Commercial,3.7
Colorado,2015,Commercial,4
Connecticut,1990,Commercial,3.8
Connecticut,1991,Commercial,3.6
Connecticut,1992,Commercial,4.3
Connecticut,1993,Commercial,3.8
Connecticut,1994,Commercial,4.1
Connecticut,1995,Commercial,3.8
Connecticut,1996,Commercial,4.1
Connecticut,1997,Commercial,4.3
Connecticut,1998,Commercial,4
Connecticut,1999,Commercial,4.3
Connecticut,2000,Commercial,4.5
Connecticut,2001,Commercial,4.3
Connecticut,2002,Commercial,4.1
Connecticut,2003,Commercial,4.9
Connecticut,2004,Commercial,3.9
Connecticut,2005,Commercial,3.7
Connecticut,2006,Commercial,3.3
Connecticut,2007,Commercial,3.3
Connecticut,2008,Commercial,3.4
Connecticut,2009,Commercial,3.3
Connecticut,2010,Commercial,3.3
Connecticut,2011,Commercial,3.6
Connecticut,2012,Commercial,3.2
Connecticut,2013,Commercial,3.6
Connecticut,2014,Commercial,3.8
Connecticut,2015,Commercial,4.3
Delaware,1990,Commercial,0.6
Delaware,1991,Commercial,0.6
Delaware,1992,Commercial,0.5
Delaware,1993,Commercial,0.7
Delaware,1994,Commercial,0.6
Delaware,1995,Commercial,0.6
Delaware,1996,Commercial,0.7
Delaware,1997,Commercial,0.7
Delaware,1998,Commercial,0.6
Delaware,1999,Commercial,0.6
Delaware,2000,Commercial,0.6
Delaware,2001,Commercial,0.7
Delaware,2002,Commercial,0.7
Delaware,2003,Commercial,0.8
Delaware,2004,Commercial,0.8
Delaware,2005,Commercial,0.7
Delaware,2006,Commercial,0.7
Delaware,2007,Commercial,0.7
Delaware,2008,Commercial,0.6
Delaware,2009,Commercial,0.8
Delaware,2010,Commercial,0.8
Delaware,2011,Commercial,0.7
Delaware,2012,Commercial,0.7
Delaware,2013,Commercial,0.8
Delaware,2014,Commercial,0.8
Delaware,2015,Commercial,0.9
District of Columbia,1990,Commercial,1.2
District of Columbia,1991,Commercial,1.4
District of Columbia,1992,Commercial,1.4
District of Columbia,1993,Commercial,1.4
District of Columbia,1994,Commercial,1.4
District of Columbia,1995,Commercial,1.4
District of Columbia,1996,Commercial,1.4
District of Columbia,1997,Commercial,1.4
District of Columbia,1998,Commercial,1.3
District of Columbia,1999,Commercial,1.2
District of Columbia,2000,Commercial,1.3
District of Columbia,2001,Commercial,1.4
District of Columbia,2002,Commercial,1.3
District of Columbia,2003,Commercial,1.2
District of Columbia,2004,Commercial,1.3
District of Columbia,2005,Commercial,1.3
District of Columbia,2006,Commercial,1.1
District of Columbia,2007,Commercial,1.2
District of Columbia,2008,Commercial,1.1
District of Columbia,2009,Commercial,1.2
District of Columbia,2010,Commercial,1.2
District of Columbia,2011,Commercial,1.1
District of Columbia,2012,Commercial,0.9
District of Columbia,2013,Commercial,1
District of Columbia,2014,Commercial,1
District of Columbia,2015,Commercial,1
Florida,1990,Commercial,6.3
Florida,1991,Commercial,6
Florida,1992,Commercial,6
Florida,1993,Commercial,4.8
Florida,1994,Commercial,4.3
Florida,1995,Commercial,4.3
Florida,1996,Commercial,4.2
Florida,1997,Commercial,3.6
Florida,1998,Commercial,3.5
Florida,1999,Commercial,3.6
Florida,2000,Commercial,4.8
Florida,2001,Commercial,4.9
Florida,2002,Commercial,5
Florida,2003,Commercial,4.9
Florida,2004,Commercial,5.8
Florida,2005,Commercial,5.7
Florida,2006,Commercial,5.2
Florida,2007,Commercial,4.7
Florida,2008,Commercial,4.8
Florida,2009,Commercial,4.8
Florida,2010,Commercial,5.3
Florida,2011,Commercial,4.7
Florida,2012,Commercial,4.7
Florida,2013,Commercial,5.1
Florida,2014,Commercial,5.2
Florida,2015,Commercial,6.9
Georgia,1990,Commercial,3.9
Georgia,1991,Commercial,3.6
Georgia,1992,Commercial,4
Georgia,1993,Commercial,4
Georgia,1994,Commercial,3.9
Georgia,1995,Commercial,4.1
Georgia,1996,Commercial,4.1
Georgia,1997,Commercial,4.1
Georgia,1998,Commercial,3.7
Georgia,1999,Commercial,3.3
Georgia,2000,Commercial,4.1
Georgia,2001,Commercial,3.8
Georgia,2002,Commercial,3.4
Georgia,2003,Commercial,3.4
Georgia,2004,Commercial,3.8
Georgia,2005,Commercial,3.6
Georgia,2006,Commercial,3.2
Georgia,2007,Commercial,3.2
Georgia,2008,Commercial,3.4
Georgia,2009,Commercial,3.5
Georgia,2010,Commercial,4
Georgia,2011,Commercial,3.8
Georgia,2012,Commercial,3.6
Georgia,2013,Commercial,4
Georgia,2014,Commercial,4.1
Georgia,2015,Commercial,4.6
Hawaii,1990,Commercial,0.6
Hawaii,1991,Commercial,0.3
Hawaii,1992,Commercial,0.8
Hawaii,1993,Commercial,0.2
Hawaii,1994,Commercial,0.4
Hawaii,1995,Commercial,0.2
Hawaii,1996,Commercial,0.1
Hawaii,1997,Commercial,0.2
Hawaii,1998,Commercial,1
Hawaii,1999,Commercial,0.2
Hawaii,2000,Commercial,0.2
Hawaii,2001,Commercial,0.1
Hawaii,2002,Commercial,0.2
Hawaii,2003,Commercial,0.2
Hawaii,2004,Commercial,0.2
Hawaii,2005,Commercial,0.2
Hawaii,2006,Commercial,0.2
Hawaii,2007,Commercial,0.2
Hawaii,2008,Commercial,0.2
Hawaii,2009,Commercial,0.3
Hawaii,2010,Commercial,0.2
Hawaii,2011,Commercial,0.3
Hawaii,2012,Commercial,0.3
Hawaii,2013,Commercial,0.3
Hawaii,2014,Commercial,0.3
Hawaii,2015,Commercial,0.3
Idaho,1990,Commercial,0.8
Idaho,1991,Commercial,0.9
Idaho,1992,Commercial,0.9
Idaho,1993,Commercial,0.8
Idaho,1994,Commercial,0.8
Idaho,1995,Commercial,0.8
Idaho,1996,Commercial,1
Idaho,1997,Commercial,0.9
Idaho,1998,Commercial,0.9
Idaho,1999,Commercial,1.1
Idaho,2000,Commercial,1.1
Idaho,2001,Commercial,1
Idaho,2002,Commercial,1
Idaho,2003,Commercial,0.9
Idaho,2004,Commercial,1
Idaho,2005,Commercial,1
Idaho,2006,Commercial,1
Idaho,2007,Commercial,1.1
Idaho,2008,Commercial,1.1
Idaho,2009,Commercial,1
Idaho,2010,Commercial,1.1
Idaho,2011,Commercial,1.2
Idaho,2012,Commercial,1.1
Idaho,2013,Commercial,1.3
Idaho,2014,Commercial,1.2
Idaho,2015,Commercial,1.3
Illinois,1990,Commercial,12.4
Illinois,1991,Commercial,11.9
Illinois,1992,Commercial,12.1
Illinois,1993,Commercial,12.5
Illinois,1994,Commercial,12.2
Illinois,1995,Commercial,12.4
Illinois,1996,Commercial,13.3
Illinois,1997,Commercial,12.9
Illinois,1998,Commercial,11
Illinois,1999,Commercial,11.4
Illinois,2000,Commercial,12.2
Illinois,2001,Commercial,11.6
Illinois,2002,Commercial,12.3
Illinois,2003,Commercial,12.8
Illinois,2004,Commercial,12.1
Illinois,2005,Commercial,11.7
Illinois,2006,Commercial,11.5
Illinois,2007,Commercial,11.7
Illinois,2008,Commercial,13.1
Illinois,2009,Commercial,13.1
Illinois,2010,Commercial,11.5
Illinois,2011,Commercial,12.4
Illinois,2012,Commercial,10.9
Illinois,2013,Commercial,13.5
Illinois,2014,Commercial,14.3
Illinois,2015,Commercial,13.4
Indiana,1990,Commercial,5.4
Indiana,1991,Commercial,5.3
Indiana,1992,Commercial,5.5
Indiana,1993,Commercial,5.7
Indiana,1994,Commercial,5.6
Indiana,1995,Commercial,5.6
Indiana,1996,Commercial,6
Indiana,1997,Commercial,5.8
Indiana,1998,Commercial,5.5
Indiana,1999,Commercial,5.4
Indiana,2000,Commercial,6.2
Indiana,2001,Commercial,5.6
Indiana,2002,Commercial,5.8
Indiana,2003,Commercial,6.7
Indiana,2004,Commercial,6.4
Indiana,2005,Commercial,5.4
Indiana,2006,Commercial,4.7
Indiana,2007,Commercial,5.1
Indiana,2008,Commercial,6.1
Indiana,2009,Commercial,5.8
Indiana,2010,Commercial,5.4
Indiana,2011,Commercial,5.3
Indiana,2012,Commercial,4.6
Indiana,2013,Commercial,5.4
Indiana,2014,Commercial,5.9
Indiana,2015,Commercial,5.4
Iowa,1990,Commercial,2.7
Iowa,1991,Commercial,3
Iowa,1992,Commercial,2.6
Iowa,1993,Commercial,2.7
Iowa,1994,Commercial,2.4
Iowa,1995,Commercial,2.6
Iowa,1996,Commercial,3.2
Iowa,1997,Commercial,3.3
Iowa,1998,Commercial,2.9
Iowa,1999,Commercial,3.4
Iowa,2000,Commercial,3.2
Iowa,2001,Commercial,3.2
Iowa,2002,Commercial,3.3
Iowa,2003,Commercial,3.4
Iowa,2004,Commercial,3.1
Iowa,2005,Commercial,3.1
Iowa,2006,Commercial,3.5
Iowa,2007,Commercial,3.7
Iowa,2008,Commercial,4.1
Iowa,2009,Commercial,4.3
Iowa,2010,Commercial,4.1
Iowa,2011,Commercial,4.2
Iowa,2012,Commercial,3.8
Iowa,2013,Commercial,4.6
Iowa,2014,Commercial,4.6
Iowa,2015,Commercial,4.3
Kansas,1990,Commercial,3.2
Kansas,1991,Commercial,3.4
Kansas,1992,Commercial,3.1
Kansas,1993,Commercial,3.3
Kansas,1994,Commercial,3.1
Kansas,1995,Commercial,3.2
Kansas,1996,Commercial,3.5
Kansas,1997,Commercial,2.5
Kansas,1998,Commercial,2.5
Kansas,1999,Commercial,2.4
Kansas,2000,Commercial,2.5
Kansas,2001,Commercial,2.4
Kansas,2002,Commercial,2.4
Kansas,2003,Commercial,2.4
Kansas,2004,Commercial,2.3
Kansas,2005,Commercial,1.8
Kansas,2006,Commercial,1.7
Kansas,2007,Commercial,1.9
Kansas,2008,Commercial,2.1
Kansas,2009,Commercial,2
Kansas,2010,Commercial,2
Kansas,2011,Commercial,1.9
Kansas,2012,Commercial,1.6
Kansas,2013,Commercial,2
Kansas,2014,Commercial,2.2
Kansas,2015,Commercial,2.2
Kentucky,1990,Commercial,2.6
Kentucky,1991,Commercial,2.8
Kentucky,1992,Commercial,3
Kentucky,1993,Commercial,3
Kentucky,1994,Commercial,3.2
Kentucky,1995,Commercial,3.1
Kentucky,1996,Commercial,3.2
Kentucky,1997,Commercial,3.4
Kentucky,1998,Commercial,2.9
Kentucky,1999,Commercial,3.4
Kentucky,2000,Commercial,3.2
Kentucky,2001,Commercial,3
Kentucky,2002,Commercial,3.1
Kentucky,2003,Commercial,3
Kentucky,2004,Commercial,3.1
Kentucky,2005,Commercial,3
Kentucky,2006,Commercial,2.5
Kentucky,2007,Commercial,2.5
Kentucky,2008,Commercial,2.6
Kentucky,2009,Commercial,2.3
Kentucky,2010,Commercial,2.4
Kentucky,2011,Commercial,2.3
Kentucky,2012,Commercial,2
Kentucky,2013,Commercial,2.4
Kentucky,2014,Commercial,2.5
Kentucky,2015,Commercial,2.6
Louisiana,1990,Commercial,1.9
Louisiana,1991,Commercial,1.9
Louisiana,1992,Commercial,2
Louisiana,1993,Commercial,1.8
Louisiana,1994,Commercial,1.7
Louisiana,1995,Commercial,1.5
Louisiana,1996,Commercial,1.6
Louisiana,1997,Commercial,1.8
Louisiana,1998,Commercial,1.6
Louisiana,1999,Commercial,1.8
Louisiana,2000,Commercial,2.6
Louisiana,2001,Commercial,2
Louisiana,2002,Commercial,1.9
Louisiana,2003,Commercial,2.4
Louisiana,2004,Commercial,2.2
Louisiana,2005,Commercial,2.1
Louisiana,2006,Commercial,1.5
Louisiana,2007,Commercial,2.7
Louisiana,2008,Commercial,1.6
Louisiana,2009,Commercial,2
Louisiana,2010,Commercial,1.9
Louisiana,2011,Commercial,1.9
Louisiana,2012,Commercial,1.9
Louisiana,2013,Commercial,1.8
Louisiana,2014,Commercial,2
Louisiana,2015,Commercial,2.2
Maine,1990,Commercial,2.3
Maine,1991,Commercial,2.3
Maine,1992,Commercial,1.8
Maine,1993,Commercial,1.8
Maine,1994,Commercial,1.8
Maine,1995,Commercial,1.5
Maine,1996,Commercial,1.7
Maine,1997,Commercial,1.7
Maine,1998,Commercial,1.7
Maine,1999,Commercial,1.6
Maine,2000,Commercial,1.9
Maine,2001,Commercial,1.6
Maine,2002,Commercial,1.8
Maine,2003,Commercial,2.3
Maine,2004,Commercial,2.2
Maine,2005,Commercial,2.1
Maine,2006,Commercial,1.8
Maine,2007,Commercial,2.2
Maine,2008,Commercial,2.2
Maine,2009,Commercial,1.8
Maine,2010,Commercial,1.7
Maine,2011,Commercial,1.8
Maine,2012,Commercial,1.6
Maine,2013,Commercial,1.6
Maine,2014,Commercial,1.7
Maine,2015,Commercial,1.8
Maryland,1990,Commercial,2.9
Maryland,1991,Commercial,3.5
Maryland,1992,Commercial,4
Maryland,1993,Commercial,3.9
Maryland,1994,Commercial,4.3
Maryland,1995,Commercial,4.8
Maryland,1996,Commercial,4.3
Maryland,1997,Commercial,4.2
Maryland,1998,Commercial,4.7
Maryland,1999,Commercial,4.5
Maryland,2000,Commercial,4.7
Maryland,2001,Commercial,4.8
Maryland,2002,Commercial,4.8
Maryland,2003,Commercial,5.3
Maryland,2004,Commercial,5.2
Maryland,2005,Commercial,5
Maryland,2006,Commercial,4.6
Maryland,2007,Commercial,4.7
Maryland,2008,Commercial,4.7
Maryland,2009,Commercial,4.8
Maryland,2010,Commercial,4.6
Maryland,2011,Commercial,4.6
Maryland,2012,Commercial,4.4
Maryland,2013,Commercial,4.7
Maryland,2014,Commercial,5
Maryland,2015,Commercial,5.3
Massachusetts,1990,Commercial,8.5
Massachusetts,1991,Commercial,9.2
Massachusetts,1992,Commercial,9
Massachusetts,1993,Commercial,8
Massachusetts,1994,Commercial,8.9
Massachusetts,1995,Commercial,9
Massachusetts,1996,Commercial,9.1
Massachusetts,1997,Commercial,9.5
Massachusetts,1998,Commercial,8.1
Massachusetts,1999,Commercial,6.2
Massachusetts,2000,Commercial,6.8
Massachusetts,2001,Commercial,5.7
Massachusetts,2002,Commercial,5.9
Massachusetts,2003,Commercial,7.1
Massachusetts,2004,Commercial,6.6
Massachusetts,2005,Commercial,6.7
Massachusetts,2006,Commercial,5
Massachusetts,2007,Commercial,5.3
Massachusetts,2008,Commercial,5.6
Massachusetts,2009,Commercial,5.8
Massachusetts,2010,Commercial,6.7
Massachusetts,2011,Commercial,6.3
Massachusetts,2012,Commercial,5.2
Massachusetts,2013,Commercial,6.8
Massachusetts,2014,Commercial,7.1
Massachusetts,2015,Commercial,7.6
Michigan,1990,Commercial,10.5
Michigan,1991,Commercial,10.7
Michigan,1992,Commercial,10.9
Michigan,1993,Commercial,11.1
Michigan,1994,Commercial,11.4
Michigan,1995,Commercial,11.9
Michigan,1996,Commercial,12.5
Michigan,1997,Commercial,11.9
Michigan,1998,Commercial,10.1
Michigan,1999,Commercial,10.7
Michigan,2000,Commercial,11.2
Michigan,2001,Commercial,10.6
Michigan,2002,Commercial,10.9
Michigan,2003,Commercial,11.2
Michigan,2004,Commercial,10.8
Michigan,2005,Commercial,10.6
Michigan,2006,Commercial,9.2
Michigan,2007,Commercial,10
Michigan,2008,Commercial,10.6
Michigan,2009,Commercial,10.3
Michigan,2010,Commercial,9.4
Michigan,2011,Commercial,9.9
Michigan,2012,Commercial,8.7
Michigan,2013,Commercial,10.3
Michigan,2014,Commercial,12.1
Michigan,2015,Commercial,10.8
Minnesota,1990,Commercial,5.7
Minnesota,1991,Commercial,5.5
Minnesota,1992,Commercial,5
Minnesota,1993,Commercial,5.3
Minnesota,1994,Commercial,5.5
Minnesota,1995,Commercial,5.9
Minnesota,1996,Commercial,6.3
Minnesota,1997,Commercial,6.2
Minnesota,1998,Commercial,5.5
Minnesota,1999,Commercial,5.4
Minnesota,2000,Commercial,5.8
Minnesota,2001,Commercial,5.8
Minnesota,2002,Commercial,6.4
Minnesota,2003,Commercial,6.4
Minnesota,2004,Commercial,5.9
Minnesota,2005,Commercial,6
Minnesota,2006,Commercial,5.9
Minnesota,2007,Commercial,5.9
Minnesota,2008,Commercial,6.5
Minnesota,2009,Commercial,6.3
Minnesota,2010,Commercial,5.7
Minnesota,2011,Commercial,6
Minnesota,2012,Commercial,5.3
Minnesota,2013,Commercial,6.7
Minnesota,2014,Commercial,7.1
Minnesota,2015,Commercial,6.4
Mississippi,1990,Commercial,1.3
Mississippi,1991,Commercial,1.3
Mississippi,1992,Commercial,1.4
Mississippi,1993,Commercial,1.3
Mississippi,1994,Commercial,1.4
Mississippi,1995,Commercial,1.4
Mississippi,1996,Commercial,1.6
Mississippi,1997,Commercial,1.5
Mississippi,1998,Commercial,1.5
Mississippi,1999,Commercial,1.4
Mississippi,2000,Commercial,1.6
Mississippi,2001,Commercial,1.6
Mississippi,2002,Commercial,1.5
Mississippi,2003,Commercial,1.7
Mississippi,2004,Commercial,1.5
Mississippi,2005,Commercial,1.4
Mississippi,2006,Commercial,1.3
Mississippi,2007,Commercial,1.8
Mississippi,2008,Commercial,1.5
Mississippi,2009,Commercial,1.5
Mississippi,2010,Commercial,1.5
Mississippi,2011,Commercial,1.5
Mississippi,2012,Commercial,1.4
Mississippi,2013,Commercial,1.4
Mississippi,2014,Commercial,1.6
Mississippi,2015,Commercial,1.6
Missouri,1990,Commercial,4.4
Missouri,1991,Commercial,4.7
Missouri,1992,Commercial,4.5
Missouri,1993,Commercial,5
Missouri,1994,Commercial,4.8
Missouri,1995,Commercial,4.7
Missouri,1996,Commercial,5.3
Missouri,1997,Commercial,5.2
Missouri,1998,Commercial,4.5
Missouri,1999,Commercial,4.8
Missouri,2000,Commercial,4.6
Missouri,2001,Commercial,5.2
Missouri,2002,Commercial,4.6
Missouri,2003,Commercial,4.5
Missouri,2004,Commercial,4.5
Missouri,2005,Commercial,4.2
Missouri,2006,Commercial,4
Missouri,2007,Commercial,4
Missouri,2008,Commercial,4.6
Missouri,2009,Commercial,4.1
Missouri,2010,Commercial,4.1
Missouri,2011,Commercial,4
Missouri,2012,Commercial,3.6
Missouri,2013,Commercial,4.3
Missouri,2014,Commercial,4.7
Missouri,2015,Commercial,4.5
Montana,1990,Commercial,0.9
Montana,1991,Commercial,0.9
Montana,1992,Commercial,0.8
Montana,1993,Commercial,0.9
Montana,1994,Commercial,0.8
Montana,1995,Commercial,0.8
Montana,1996,Commercial,0.9
Montana,1997,Commercial,1
Montana,1998,Commercial,0.8
Montana,1999,Commercial,0.7
Montana,2000,Commercial,0.9
Montana,2001,Commercial,0.9
Montana,2002,Commercial,0.9
Montana,2003,Commercial,1
Montana,2004,Commercial,1.1
Montana,2005,Commercial,1.1
Montana,2006,Commercial,1.1
Montana,2007,Commercial,0.9
Montana,2008,Commercial,1
Montana,2009,Commercial,1.4
Montana,2010,Commercial,1.2
Montana,2011,Commercial,1.4
Montana,2012,Commercial,1.2
Montana,2013,Commercial,1.3
Montana,2014,Commercial,1.3
Montana,2015,Commercial,1.2
Nebraska,1990,Commercial,2.1
Nebraska,1991,Commercial,2.2
Nebraska,1992,Commercial,2
Nebraska,1993,Commercial,2
Nebraska,1994,Commercial,2.2
Nebraska,1995,Commercial,2.2
Nebraska,1996,Commercial,2.3
Nebraska,1997,Commercial,2.1
Nebraska,1998,Commercial,1.7
Nebraska,1999,Commercial,1.6
Nebraska,2000,Commercial,1.8
Nebraska,2001,Commercial,1.7
Nebraska,2002,Commercial,1.6
Nebraska,2003,Commercial,1.7
Nebraska,2004,Commercial,1.8
Nebraska,2005,Commercial,1.6
Nebraska,2006,Commercial,1.7
Nebraska,2007,Commercial,1.8
Nebraska,2008,Commercial,2.1
Nebraska,2009,Commercial,1.9
Nebraska,2010,Commercial,1.9
Nebraska,2011,Commercial,1.9
Nebraska,2012,Commercial,1.6
Nebraska,2013,Commercial,2
Nebraska,2014,Commercial,2
Nebraska,2015,Commercial,2
Nevada,1990,Commercial,1.1
Nevada,1991,Commercial,1.2
Nevada,1992,Commercial,1.1
Nevada,1993,Commercial,1.4
Nevada,1994,Commercial,1.4
Nevada,1995,Commercial,1.4
Nevada,1996,Commercial,1.6
Nevada,1997,Commercial,1.4
Nevada,1998,Commercial,1.5
Nevada,1999,Commercial,1.5
Nevada,2000,Commercial,1.6
Nevada,2001,Commercial,1.4
Nevada,2002,Commercial,1.5
Nevada,2003,Commercial,1.5
Nevada,2004,Commercial,1.7
Nevada,2005,Commercial,1.8
Nevada,2006,Commercial,1.8
Nevada,2007,Commercial,1.8
Nevada,2008,Commercial,1.8
Nevada,2009,Commercial,1.8
Nevada,2010,Commercial,1.8
Nevada,2011,Commercial,1.9
Nevada,2012,Commercial,1.8
Nevada,2013,Commercial,1.9
Nevada,2014,Commercial,1.8
Nevada,2015,Commercial,2.2
New Hampshire,1990,Commercial,1.4
New Hampshire,1991,Commercial,1.3
New Hampshire,1992,Commercial,1.2
New Hampshire,1993,Commercial,1.2
New Hampshire,1994,Commercial,1.3
New Hampshire,1995,Commercial,1.2
New Hampshire,1996,Commercial,1.4
New Hampshire,1997,Commercial,1.4
New Hampshire,1998,Commercial,1.2
New Hampshire,1999,Commercial,1.2
New Hampshire,2000,Commercial,1.5
New Hampshire,2001,Commercial,1.4
New Hampshire,2002,Commercial,1.4
New Hampshire,2003,Commercial,1.7
New Hampshire,2004,Commercial,1.9
New Hampshire,2005,Commercial,2
New Hampshire,2006,Commercial,1.4
New Hampshire,2007,Commercial,1.4
New Hampshire,2008,Commercial,1.4
New Hampshire,2009,Commercial,1.4
New Hampshire,2010,Commercial,1.2
New Hampshire,2011,Commercial,1.3
New Hampshire,2012,Commercial,1.2
New Hampshire,2013,Commercial,1.3
New Hampshire,2014,Commercial,1.4
New Hampshire,2015,Commercial,1.5
New Jersey,1990,Commercial,10.8
New Jersey,1991,Commercial,10.9
New Jersey,1992,Commercial,11.3
New Jersey,1993,Commercial,10.7
New Jersey,1994,Commercial,11
New Jersey,1995,Commercial,10
New Jersey,1996,Commercial,11.2
New Jersey,1997,Commercial,11.5
New Jersey,1998,Commercial,10.1
New Jersey,1999,Commercial,11.7
New Jersey,2000,Commercial,10.9
New Jersey,2001,Commercial,9.4
New Jersey,2002,Commercial,9.5
New Jersey,2003,Commercial,10.6
New Jersey,2004,Commercial,10.9
New Jersey,2005,Commercial,11.3
New Jersey,2006,Commercial,9.5
New Jersey,2007,Commercial,11
New Jersey,2008,Commercial,10.6
New Jersey,2009,Commercial,11.1
New Jersey,2010,Commercial,10.9
New Jersey,2011,Commercial,11.7
New Jersey,2012,Commercial,10.5
New Jersey,2013,Commercial,10.5
New Jersey,2014,Commercial,12.3
New Jersey,2015,Commercial,10.7
New Mexico,1990,Commercial,1.7
New Mexico,1991,Commercial,1.7
New Mexico,1992,Commercial,1.7
New Mexico,1993,Commercial,1.7
New Mexico,1994,Commercial,1.5
New Mexico,1995,Commercial,1.5
New Mexico,1996,Commercial,1.6
New Mexico,1997,Commercial,1.6
New Mexico,1998,Commercial,1.6
New Mexico,1999,Commercial,1.7
New Mexico,2000,Commercial,1.6
